no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
657,MAIN,AFS032N46A0,2BF,ANAGRAM,"ฟอยล์ดาว 32"" Ruby Red (A)",ใบ,107,"10,447.19",97.6373
658,MAIN,AFS032N47A0,2BF,ANAGRAM,"ฟอยล์ดาว 32"" S. BLUE (A)",ใบ,168,"7,974.96",47.47
659,MAIN,AFS032N49A0,2BF,ANAGRAM,"ฟอยล์ดาว 32"" Gold (A)",ใบ,359,"19,864.60",55.3331
660,MAIN,AFS032N51A0,2BF,ANAGRAM,"ฟอยล์ดาว 32"" Silver (A)",ใบ,53,"2,391.28",45.1185
1693,MAIN,ASFF0018000,1S05,BALLOONSERV,"ใบพัดลม ขนาด 18""",ใบ,11,"3,113.00",283
1697,MAIN,ASPRD10A000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีแดง,ใบ,12,"9,009.60",750.8
1698,MAIN,ASPRD10B000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีชมพู,ใบ,17,"12,763.60",750.8
1699,MAIN,ASPRD10C000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีฟ้า,ใบ,17,"12,944.24",761.4259
1700,MAIN,ASPRD10D000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีเขียวอ่อน,ใบ,21,"15,766.80",750.8
1701,MAIN,ASPRD10E000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีเหลือง,ใบ,15,"11,262.00",750.8
1702,MAIN,ASPRD10F000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีส้ม,ใบ,1,,
1703,MAIN,ASPRD10G000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีน้ำเงิน,ใบ,5,"3,754.00",750.8
1704,MAIN,ASPRD10H000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีเขียว,ใบ,10,"7,508.00",750.8
1705,MAIN,ASPRD10I000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีขาว,ใบ,10,"8,282.19",828.219
1706,MAIN,ASPRD10J000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีม่วง,ใบ,15,"11,262.00",750.8
1707,MAIN,ASPRD10K000,2PVC,BALLOONSERV,บอลลูนกลม 1m สีเงิน,ใบ,15,"11,262.00",750.8
1708,MAIN,ASPRD15A000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีแดง,ใบ,1,851.5,851.5
1709,MAIN,ASPRD15B000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีชมพู,ใบ,12,"10,224.00",852
1710,MAIN,ASPRD15C000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีฟ้า,ใบ,5,"4,260.00",852
1711,MAIN,ASPRD15D000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีเขียวอ่อน,ใบ,17,"14,484.00",852
1712,MAIN,ASPRD15F000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีส้ม,ใบ,6,"5,109.42",851.57
1713,MAIN,ASPRD15G000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีน้ำเงิน,ใบ,16,"13,625.12",851.57
1714,MAIN,ASPRD15H000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีเขียว,ใบ,,,
1715,MAIN,ASPRD15I000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีขาว,ใบ,5,"6,728.98","1,345.80"
1716,MAIN,ASPRD15J000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีม่วง,ใบ,15,"12,773.55",851.57
1717,MAIN,ASPRD15K000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีเงิน,ใบ,15,"12,773.55",851.57
1718,MAIN,ASPRD15M000,2PVC,BALLOONSERV,บอลลูนกลม 1.5m สีดำ,ใบ,4,"3,406.28",851.57
1719,MAIN,ASPRD20A000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีแดง,ใบ,3,"3,165.00","1,055.00"
1720,MAIN,ASPRD20B000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีชมพู,ใบ,9,"9,491.76","1,054.64"
1721,MAIN,ASPRD20C000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีฟ้า,ใบ,1,"1,054.64","1,054.64"
1722,MAIN,ASPRD20D000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีเขียวอ่อน,ใบ,12,"12,655.68","1,054.64"
