no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
101,MAIN,AFA197470C0,2BF,CONVERTIDORA,"14"" Min Birthday Present",ใบ,80,"1,286.28",16.0785
102,MAIN,AFA197480C0,2BF,CONVERTIDORA,"14"" Min Princess Castle",ใบ,123,"2,246.13",18.2612
103,MAIN,AFA197490C0,2BF,CONVERTIDORA,"14"" Min Fairy",ใบ,20,321.56,16.078
105,MAIN,AFA198280C0,2BF,CONVERTIDORA,"18"" I Love You Lips",ใบ,34,180.01,5.2944
108,MAIN,AFA199640C0,2BF,CONVERTIDORA,"18"" Med I Love You Forever",ใบ,90,"1,723.95",19.155
243,MAIN,AFA344710C0,2BF,CONVERTIDORA,"18"" Decorative Heart",ใบ,48,509.23,10.609
282,MAIN,AFA811880C0,2BF,CONVERTIDORA,"36"" Heart&Lines",ใบ,35,"1,527.93",43.6551
283,MAIN,AFA812090C0,2BF,CONVERTIDORA,"18"" Be My Valentine Owl",ใบ,71,"1,122.70",15.8127
284,MAIN,AFA890860C0,2BF,CONVERTIDORA,"9"" Min Santa Christmas",ใบ,495,"5,328.26",10.7642
285,MAIN,AFA890870C0,2BF,CONVERTIDORA,"36"" Lg Santa Christmas",ใบ,17,941.92,55.4071
286,MAIN,AFA891250C0,2BF,CONVERTIDORA,"9"" Min New Year Square",ใบ,323,"3,303.00",10.226
360,MAIN,AFKSBK000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Spiral Balck Gellibea",ชิ้น,549,"5,436.69",9.9029
361,MAIN,AFKSGD000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Spiral Gold",ชิ้น,528,"5,228.68",9.9028
362,MAIN,AFKSLB000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Spiral Light Blue",ชิ้น,514,"5,090.09",9.9029
363,MAIN,AFKSMG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Curly Spiral Magenta",ชิ้น,530,"5,248.54",9.9029
364,MAIN,AFKSPK000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Spiral Pink",ชิ้น,521,"5,159.42",9.9029
365,MAIN,AFKSWG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Spiral White Gellibea",ชิ้น,532,"5,268.35",9.9029
366,MAIN,AFKVBK000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Wave Black Gellibea",ชิ้น,537,"5,317.86",9.9029
367,MAIN,AFKVGD000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Wave Gold",ชิ้น,457,"4,525.64",9.9029
368,MAIN,AFKVKW000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Curly Wave Kiwi",ชิ้น,503,"4,981.16",9.9029
369,MAIN,AFKVLB000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Wave Light Blue",ชิ้น,303,"3,000.58",9.9029
370,MAIN,AFKVMG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Curly Wave Magenta",ชิ้น,499,"4,941.55",9.9029
371,MAIN,AFKVPK000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Wave Pink",ชิ้น,364,"3,604.65",9.9029
372,MAIN,AFKVPP000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Wave Purple",ชิ้น,520,"5,149.51",9.9029
373,MAIN,AFKVWG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Wave White Gellibea",ชิ้น,470,"4,654.37",9.9029
374,MAIN,AFKWKW000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 36"" Zig Zag Wall Kiwi",ชิ้น,570,"18,406.50",32.2921
375,MAIN,AFKWMG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 36"" Zig Zag Wall Magenta",ชิ้น,575,"18,567.96",32.2921
376,MAIN,AFKWRB000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 36"" Zig Zag Wall Royal Blue",ชิ้น,580,"18,729.42",32.2921
377,MAIN,AFKWSV000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 36"" Zig Zag Wall Silver",ชิ้น,575,"18,567.96",32.2921
378,MAIN,AFKZBK000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Black",ชิ้น,575,"5,694.17",9.9029
379,MAIN,AFKZBL000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Blue",ชิ้น,552,"5,466.41",9.9029
380,MAIN,AFKZEG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Emeral Green",ชิ้น,469,"4,644.46",9.9029
381,MAIN,AFKZGD000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Gold",ชิ้น,95,940.77,9.9028
382,MAIN,AFKZKW000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Curly Zig Zag Kiwi",ชิ้น,580,"5,743.69",9.9029
383,MAIN,AFKZLB000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Light Blue",ชิ้น,517,"5,119.78",9.9029
384,MAIN,AFKZMG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Curly Zig Zag Magenta",ชิ้น,570,"5,644.64",9.9029
385,MAIN,AFKZOE000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Orange",ชิ้น,595,"5,892.23",9.9029
386,MAIN,AFKZPK000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Pink",ชิ้น,556,"5,506.01",9.9029
387,MAIN,AFKZPP000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Purple",ชิ้น,573,"5,674.36",9.9029
388,MAIN,AFKZRD000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag Red",ชิ้น,85,841.74,9.9028
389,MAIN,AFKZSV000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Curly Zig Zag Silver",ชิ้น,397,"3,931.46",9.9029
390,MAIN,AFKZWG000C0,2BF,CONVERTIDORA,"ลูกโป่งฟอยล์ 14"" Kurly Zig Zag White Gelli",ชิ้น,560,"5,545.63",9.9029
313,MAIN,AFB012NBED0,2BF,DBCY,"ฟอยล์กล่องสี่เหลี่ยม 12""Blue (DB)",ใบ,51,788.63,15.4633
314,MAIN,AFB012NRDD0,2BF,DBCY,"ฟอยล์กล่องสี่เหลี่ยม 12""RED (DB)",ใบ,88,"1,360.84",15.4641
315,MAIN,AFB012NSVD0,2BF,DBCY,"ฟอยล์กล่องสี่เหลี่ยม 12""Silver (DB)",ใบ,145,"2,238.53",15.4381
346,MAIN,AFH018NBED0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Blue (DB)",ใบ,218,111.4,0.511
347,MAIN,AFH018NGND0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Green (DB)",ใบ,167,745.34,4.4631
348,MAIN,AFH018NGOD0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Gold (DB)",ใบ,450,677.21,1.5049
349,MAIN,AFH018NPBD0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Pastel Blue (DB)",ใบ,302,15.81,0.0524
350,MAIN,AFH018NPID0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Pastel Pink (DB)",ใบ,"1,000",,
351,MAIN,AFH018NPKD0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Pink (DB)",ใบ,990,,
352,MAIN,AFH018NPPD0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Purple (DB)",ใบ,220,"2,068.37",9.4017
353,MAIN,AFH018NRDD0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Red (DB)",ใบ,"1,133","2,333.40",2.0595
354,MAIN,AFH018NSVD0,2BF,DBCY,"ฟอยล์หัวใจ 18"" Sivler (DB)",ใบ,512,94.83,0.1852
392,MAIN,AFL16P001D0,2BF,DBCY,"ฟอยล์ตัวอักษร 16""HBD Light Blue (DB)",ชุด,97,45.31,0.4671
393,MAIN,AFL16P002D0,2BF,DBCY,"ฟอยล์ตัวอักษร 16""HBD Pink (DB)",ชุด,103,48.95,0.4752
394,MAIN,AFL16P003D0,2BF,DBCY,"ฟอยล์ตัวอักษร 16""LOVE Pink (DB)",ชุด,229,"1,963.46",8.5741
395,MAIN,AFL16P004D0,2BF,DBCY,"Letter 16"" Happy Birthday Asst",ชุด,307,"15,115.02",49.2346
397,MAIN,AFLA16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" A Gold (DB)",ใบ,535,390.46,0.7298
398,MAIN,AFLA16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" A Silver (DB)",ใบ,615,"1,036.57",1.6855
399,MAIN,AFLA40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" A Gold (DB)",ใบ,206,"4,212.39",20.4485
400,MAIN,AFLA40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" A Silver (DB)",ใบ,329,"3,062.32",9.308
401,MAIN,AFLB16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" B Gold (DB)",ใบ,592,908.57,1.5347
402,MAIN,AFLB16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" B Silver (DB)",ใบ,579,700.47,1.2098
403,MAIN,AFLB40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" B Gold (DB)",ใบ,346,"2,386.21",6.8966
404,MAIN,AFLB40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" B Silver (DB)",ใบ,499,"7,417.89",14.8655
405,MAIN,AFLC16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" C Gold (DB)",ใบ,114,497.6,4.3649
406,MAIN,AFLC16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" C Silver (DB)",ใบ,317,476.04,1.5017
407,MAIN,AFLC40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" C Gold (DB)",ใบ,245,"4,953.80",20.2196
408,MAIN,AFLC40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" C Silver (DB)",ใบ,224,"5,194.12",23.188
409,MAIN,AFLD16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" D Gold (DB)",ใบ,575,787.96,1.3704
410,MAIN,AFLD16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" D Silver (DB)",ใบ,"1,100",837.68,0.7615
411,MAIN,AFLD40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" D Gold (DB)",ใบ,394,"2,594.66",6.5854
412,MAIN,AFLD40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" D Silver (DB)",ใบ,402,"4,636.54",11.5337
413,MAIN,AFLE16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" E Gold (DB)",ใบ,390,703.19,1.8031
414,MAIN,AFLE16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" E Silver (DB)",ใบ,148,"1,010.55",6.828
415,MAIN,AFLE40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" E Gold (DB)",ใบ,205,"3,687.61",17.9883
416,MAIN,AFLE40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" E Silver (DB)",ใบ,370,"4,041.44",10.9228
417,MAIN,AFLF16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" F Gold (DB)",ใบ,277,"1,134.36",4.0952
418,MAIN,AFLF16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" F Silver (DB)",ใบ,103,442.79,4.2989
419,MAIN,AFLF40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" F Gold (DB)",ใบ,317,"5,402.56",17.0428
420,MAIN,AFLF40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" F Silver (DB)",ใบ,330,"6,717.01",20.3546
421,MAIN,AFLG16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" G Gold (DB)",ใบ,201,938.64,4.6699
422,MAIN,AFLG16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" G Silver (DB)",ใบ,483,"1,369.57",2.8355
423,MAIN,AFLG40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" G Gold (DB)",ใบ,313,"6,151.97",19.6549
424,MAIN,AFLG40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" G Silver (DB)",ใบ,287,"5,695.04",19.8433
425,MAIN,AFLH16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" H Gold (DB)",ใบ,356,641.11,1.8009
426,MAIN,AFLH16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" H Silver (DB)",ใบ,"1,081",731.14,0.6764
427,MAIN,AFLH40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" H Gold (DB)",ใบ,358,"1,396.85",3.9018
428,MAIN,AFLH40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" H Silver (DB)",ใบ,368,"3,460.61",9.4038
429,MAIN,AFLI16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" I Gold (DB)",ใบ,99,581.48,5.8735
430,MAIN,AFLI16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" I Silver (DB)",ใบ,134,834.15,6.225
431,MAIN,AFLI40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" I Gold (DB)",ใบ,187,"3,831.16",20.4875
432,MAIN,AFLI40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" I Silver (DB)",ใบ,220,"5,049.47",22.9521
433,MAIN,AFLJ16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" J Gold (DB)",ใบ,207,"1,178.36",5.6926
434,MAIN,AFLJ16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" J Silver (DB)",ใบ,493,"1,368.90",2.7767
435,MAIN,AFLJ40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" J Gold (DB)",ใบ,347,"7,464.10",21.5104
436,MAIN,AFLJ40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" J Silver (DB)",ใบ,222,"4,408.83",19.8596
437,MAIN,AFLK16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" K Gold (DB)",ใบ,161,648.59,4.0285
438,MAIN,AFLK16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" K Silver (DB)",ใบ,650,"1,088.33",1.6744
439,MAIN,AFLK40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" K Gold (DB)",ใบ,234,"4,782.63",20.4386
440,MAIN,AFLK40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" K Silver (DB)",ใบ,239,"4,905.96",20.527
441,MAIN,AFLL16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" L Gold (DB)",ใบ,191,361.95,1.895
442,MAIN,AFLL16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" L Silver (DB)",ใบ,412,852.99,2.0704
443,MAIN,AFLL40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" L Gold (DB)",ใบ,159,"3,333.34",20.9644
444,MAIN,AFLL40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" L Silver (DB)",ใบ,183,"3,774.02",20.6231
445,MAIN,AFLM16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" M Gold (DB)",ใบ,215,631.01,2.9349
446,MAIN,AFLM16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" M Silver (DB)",ใบ,38,232.61,6.1213
447,MAIN,AFLM40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" M Gold (DB)",ใบ,142,"3,312.28",23.3259
448,MAIN,AFLM40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" M Silver (DB)",ใบ,206,"4,528.06",21.9809
449,MAIN,AFLN16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" N Gold (DB)",ใบ,172,462.12,2.6867
450,MAIN,AFLN16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" N Silver (DB)",ใบ,100,691.42,6.9142
451,MAIN,AFLN40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" N Gold (DB)",ใบ,234,"4,856.22",20.7531
452,MAIN,AFLN40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" N Silver (DB)",ใบ,307,"4,679.79",15.2436
453,MAIN,AFLO16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" O Gold (DB)",ใบ,145,888.18,6.1254
454,MAIN,AFLO16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" O Silver (DB)",ใบ,245,"1,594.99",6.5102
455,MAIN,AFLO40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" O Gold (DB)",ใบ,226,"2,732.91",12.0925
456,MAIN,AFLO40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" O Silver (DB)",ใบ,138,"3,098.43",22.4524
457,MAIN,AFLP16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" P Gold (DB)",ใบ,380,600,1.5789
458,MAIN,AFLP16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" P Silver (DB)",ใบ,104,605.54,5.8225
459,MAIN,AFLP40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" P Gold (DB)",ใบ,225,"4,730.46",21.0243
460,MAIN,AFLP40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" P Silver (DB)",ใบ,166,"3,563.95",21.4696
461,MAIN,AFLQ16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" Q Gold (DB)",ใบ,199,942.42,4.7358
462,MAIN,AFLQ16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" Q Silver (DB)",ใบ,654,"3,545.49",5.4212
463,MAIN,AFLQ40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" Q Gold (DB)",ใบ,214,"4,451.86",20.8031
464,MAIN,AFLQ40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" Q Silver (DB)",ใบ,296,"5,911.34",19.9707
465,MAIN,AFLR16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" R Gold (DB)",ใบ,356,"1,221.05",3.4299
466,MAIN,AFLR16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" R Silver (DB)",ใบ,568,"1,301.67",2.2917
467,MAIN,AFLR40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" R Gold (DB)",ใบ,362,"11,487.56",31.7336
468,MAIN,AFLR40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" R Silver (DB)",ใบ,159,"3,183.70",20.0233
469,MAIN,AFLS16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" S Gold (DB)",ใบ,282,"1,032.25",3.6605
470,MAIN,AFLS16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" S Silver (DB)",ใบ,490,721.78,1.473
471,MAIN,AFLS40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" S Gold (DB)",ใบ,247,"5,156.15",20.8751
472,MAIN,AFLS40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" S Silver (DB)",ใบ,297,"6,802.39",22.9037
473,MAIN,AFLT16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" T Gold (DB)",ใบ,348,"2,043.27",5.8715
474,MAIN,AFLT16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" T Silver (DB)",ใบ,362,554.52,1.5318
475,MAIN,AFLT40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" T Gold (DB)",ใบ,284,"6,103.52",21.4913
476,MAIN,AFLT40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" T Silver (DB)",ใบ,212,"4,492.07",21.189
477,MAIN,AFLU16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" U Gold (DB)",ใบ,51,213.5,4.1863
478,MAIN,AFLU16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" U Silver (DB)",ใบ,382,631.25,1.6525
479,MAIN,AFLU40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" U Gold (DB)",ใบ,243,"5,175.65",21.299
480,MAIN,AFLU40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" U Silver (DB)",ใบ,199,"4,709.23",23.6645
481,MAIN,AFLV16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" V Gold (DB)",ใบ,340,"1,953.03",5.7442
482,MAIN,AFLV16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" V Silver (DB)",ใบ,187,812.09,4.3427
483,MAIN,AFLV40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" V Gold (DB)",ใบ,182,"3,661.65",20.119
484,MAIN,AFLV40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" V Silver (DB)",ใบ,210,"4,493.27",21.3965
485,MAIN,AFLW16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" W Gold (DB)",ใบ,184,782.19,4.251
486,MAIN,AFLW16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" W Silver (DB)",ใบ,379,"1,062.88",2.8044
487,MAIN,AFLW40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" W Gold (DB)",ใบ,205,"4,294.08",20.9467
488,MAIN,AFLW40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" W Silver (DB)",ใบ,260,"5,456.71",20.9873
489,MAIN,AFLX16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" X Gold (DB)",ใบ,201,"1,041.48",5.1815
490,MAIN,AFLX16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" X Silver (DB)",ใบ,281,"1,139.27",4.0543
491,MAIN,AFLX40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" X Gold (DB)",ใบ,197,"5,158.00",26.1827
492,MAIN,AFLX40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" X Silver (DB)",ใบ,258,"5,222.38",20.2418
493,MAIN,AFLY16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" Y Gold (DB)",ใบ,416,932.27,2.241
494,MAIN,AFLY16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" Y Silver (DB)",ใบ,669,"1,306.32",1.9526
495,MAIN,AFLY40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" Y Gold (DB)",ใบ,237,"5,793.47",24.445
496,MAIN,AFLY40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" Y Silver (DB)",ใบ,238,"5,108.34",21.4636
497,MAIN,AFLZ16NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" Z Gold (DB)",ใบ,219,"1,022.16",4.6674
498,MAIN,AFLZ16NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 16"" Z Silver (DB)",ใบ,224,905.41,4.042
499,MAIN,AFLZ40NGOD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" Z Gold (DB)",ใบ,263,"5,536.66",21.0519
500,MAIN,AFLZ40NSVD0,2BF,DBCY,"ฟอยล์ตัวอักษร 40"" Z Silver (DB)",ใบ,312,"6,254.44",20.0463
501,MAIN,AFN016NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข  16"" 0 Gold (DB)",ใบ,145,614.15,4.2355
502,MAIN,AFN016NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 16"" 0 Silver (DB)",ใบ,267,"1,294.84",4.8496
503,MAIN,AFN030NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 0 Gold (DB)",ใบ,91,959.79,10.5471
504,MAIN,AFN030NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 0 Silver (DB)",ใบ,98,"1,033.63",10.5472
508,MAIN,AFN116NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข  16"" 1 Gold (DB)",ใบ,84,354.85,4.2244
509,MAIN,AFN116NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 16"" 1 Silver (DB)",ใบ,128,579.77,4.5295
510,MAIN,AFN130NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 1 Gold (DB)",ใบ,91,959.8,10.5473
511,MAIN,AFN130NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 1 Silver (DB)",ใบ,82,911.47,11.1155
514,MAIN,AFN216NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข  16"" 2 Gold (DB)",ใบ,137,575.56,4.2012
515,MAIN,AFN216NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 16"" 2 Silver (DB)",ใบ,150,613.05,4.087
516,MAIN,AFN230NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 2 Gold (DB)",ใบ,92,970.35,10.5473
517,MAIN,AFN230NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 2 Silver (DB)",ใบ,93,980.9,10.5473
520,MAIN,AFN316NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข  16"" 3 Gold (DB)",ใบ,183,819.48,4.478
521,MAIN,AFN316NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 16"" 3 Silver (DB)",ใบ,244,"1,045.98",4.2868
522,MAIN,AFN330NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 3 Gold (DB)",ใบ,97,"1,023.09",10.5473
523,MAIN,AFN330NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 3 Silver (DB)",ใบ,95,"1,001.99",10.5473
526,MAIN,AFN416NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข  16"" 4 Gold (DB)",ใบ,89,485.15,5.4511
527,MAIN,AFN416NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 16"" 4 Silver (DB)",ใบ,157,724.96,4.6176
528,MAIN,AFN430NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 4 Gold (DB)",ใบ,100,"1,054.73",10.5473
529,MAIN,AFN430NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 4 Silver (DB)",ใบ,100,"1,054.74",10.5474
532,MAIN,AFN516NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข  16"" 5 Gold (DB)",ใบ,78,374.68,4.8036
533,MAIN,AFN516NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 16"" 5 Silver (DB)",ใบ,147,703.78,4.7876
534,MAIN,AFN530NGOD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 5 Gold (DB)",ใบ,95,"1,001.98",10.5472
535,MAIN,AFN530NSVD0,2BF,DBCY,"ฟอยล์ตัวเลข 30"" 5 Silver (DB)",ใบ,99,"1,044.19",10.5474
