H,1/1/2017,22,INA1701017,L16-00000,,,,2017-KI08,,2556110255,,,,,,,,,93,N,9870.64,,,,,,9870.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,29,AFR018NBED0,,,,,,KI08,,Y,15,,,„∫,68.18,,,,68.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,30,ALQ260S08Q0,,,,,,KI08,,Y,14,,,„∫,43.19,,,,43.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,31,ALQ260M39Q0,,,,,,KI08,,Y,13,,,„∫,25.26,,,,25.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,32,ALR005515S0,,,,,,KI08,,Y,13,,,„∫,8.13,,,,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,33,AMRF0220200,,,,,,KI08,,Y,13,,,¡È«π,13,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,34,AMRF0220300,,,,,,KI08,,Y,11,,,¡È«π,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,35,AFA268940A0,,,,,,KI08,,Y,10,,,„∫,92.4,,,,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,36,ALQ160481S0,,,,,,KI08,,Y,10,,,„∫,8.51,,,,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,37,AFS009N15A0,,,,,,KI08,,Y,9,,,„∫,133.56,,,,133.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,38,ALQ260S06Q0,,,,,,KI08,,Y,8,,,„∫,21.87,,,,21.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,39,ALR012P43S0,,,,,,KI08,,Y,8,,,„∫,24.36,,,,24.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,40,AFS009N07A0,,,,,,KI08,,Y,7,,,„∫,62.65,,,,62.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,41,AFS009N39A0,,,,,,KI08,,Y,7,,,„∫,43.61,,,,43.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,42,ALR005438S0,,,,,,KI08,,Y,7,,,„∫,4.24,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,43,ALR012M52B0,,,,,,KI08,,Y,7,,,„∫,8.75,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,44,ALR012P06S0,,,,,,KI08,,Y,7,,,„∫,22.56,,,,22.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,45,AFN240NSVY0,,,,,,KI08,,Y,6,,,„∫,300,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,46,ALR012J73B0,,,,,,KI08,,Y,6,,,„∫,7.5,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,47,AFA275350A0,,,,,,KI08,,Y,5,,,„∫,302.7,,,,302.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,48,AFN540NGOY0,,,,,,KI08,,Y,5,,,„∫,250,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,49,AFN540NSVY0,,,,,,KI08,,Y,5,,,„∫,250,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,50,AFN740NSVY0,,,,,,KI08,,Y,5,,,„∫,250,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,51,AFS004N04A0,,,,,,KI08,,Y,5,,,„∫,45.52,,,,45.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,52,AFS018NGND0,,,,,,KI08,,Y,5,,,„∫,23.64,,,,23.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,53,ALR016M39Q0,,,,,,KI08,,Y,5,,,„∫,6.65,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,54,ALR016S01Q0,,,,,,KI08,,Y,5,,,„∫,63.55,,,,63.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,55,AFN440NGOY0,,,,,,KI08,,Y,4,,,„∫,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,56,AFN640NGOY0,,,,,,KI08,,Y,4,,,„∫,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,57,AFN640NSVY0,,,,,,KI08,,Y,4,,,„∫,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,58,AFN840NSVY0,,,,,,KI08,,Y,4,,,„∫,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,59,AFN940NGOY0,,,,,,KI08,,Y,4,,,„∫,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,60,AFN940NSVY0,,,,,,KI08,,Y,4,,,„∫,222.29,,,,222.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,61,AFS032N46A0,,,,,,KI08,,Y,4,,,„∫,222.29,,,,222.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,62,AFS032N49A0,,,,,,KI08,,Y,4,,,„∫,2.42,,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,63,ALR005561S0,,,,,,KI08,,Y,4,,,„∫,2.04,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,64,ALR006M42B0,,,,,,KI08,,Y,4,,,„∫,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,65,ALR012M48B0,,,,,,KI08,,Y,4,,,„∫,152.03,,,,152.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,66,ALR024S09Q0,,,,,,KI08,,Y,4,,,„∫,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,67,AFN240NGOY0,,,,,,KI08,,Y,3,,,„∫,150,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,68,AFN340NGOY0,,,,,,KI08,,Y,3,,,„∫,150,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,69,AFN840NGOY0,,,,,,KI08,,Y,3,,,„∫,166.72,,,,166.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,70,AFS032N74A0,,,,,,KI08,,Y,3,,,„∫,4.4,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,71,ALR012531S0,,,,,,KI08,,Y,3,,,„∫,38.13,,,,38.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,72,ALR016S05Q0,,,,,,KI08,,Y,3,,,„∫,38.13,,,,38.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,73,ALR016S10Q0,,,,,,KI08,,Y,3,,,„∫,59.13,,,,59.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,74,AFLT40NSVD0,,,,,,KI08,,Y,2,,,„∫,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,75,AFN040NGOY0,,,,,,KI08,,Y,2,,,„∫,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,76,AFN040NSVY0,,,,,,KI08,,Y,2,,,„∫,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,77,AFN140NSVY0,,,,,,KI08,,Y,2,,,„∫,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,78,AFN340NSVY0,,,,,,KI08,,Y,2,,,„∫,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,79,AFN740NGOY0,,,,,,KI08,,Y,2,,,„∫,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,80,AFR036N49A0,,,,,,KI08,,Y,2,,,„∫,286.66,,,,286.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,81,ALR012M38B0,,,,,,KI08,,Y,2,,,„∫,2.5,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,82,AFLT16NGOD0,,,,,,KI08,,Y,1,,,„∫,5.27,,,,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,83,AFN116NGOD0,,,,,,KI08,,Y,1,,,„∫,5.27,,,,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,84,AFN140NGOY0,,,,,,KI08,,Y,1,,,„∫,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,85,AFN440NSVY0,,,,,,KI08,,Y,1,,,„∫,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,86,AFQ179830Q0,,,,,,KI08,,Y,1,,,„∫,235.13,,,,235.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,87,AFS018NGOD0,,,,,,KI08,,Y,1,,,„∫,4.51,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,88,ALR012532S0,,,,,,KI08,,Y,1,,,„∫,1.47,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,89,ALR036051S0,,,,,,KI08,,Y,1,,,„∫,26.86,,,,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,90,ALR036P02S0,,,,,,KI08,,Y,1,,,„∫,59.54,,,,59.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,91,ALR036S02Q0,,,,,,KI08,,Y,1,,,„∫,124.89,,,,124.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,92,ALR036S07Q0,,,,,,KI08,,Y,1,,,„∫,124.89,,,,124.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,93,AMCG0000000,,,,,,KI08,,Y,1,,,·ºËπ,150,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
